Persian_Month,Persian_Year,Gregorian_Month,Gregorian_Year,Rebar_IRR_per_ton,Steel_Billet_IRR_per_ton,Steel_Beam_IPE_IRR_per_ton,Hot-Rolled_Steel_Sheet_IRR_per_ton,Cold-Rolled_Steel_Sheet_IRR_per_ton,Galvanized_Steel_Sheet_IRR_per_ton,Wire_Rod_IRR_per_ton,Structural_Profile_IRR_per_ton,Aluminum_Ingot_IRR_per_ton,Cathode_Copper_IRR_per_ton,Zinc_Ingot_IRR_per_ton,Lead_Ingot_IRR_per_ton,Cement_Type_2_IRR_per_ton,White_Cement_IRR_per_ton,Bitumen_60/70_IRR_per_ton,Vacuum_Bottom_IRR_per_ton,Sand_IRR_per_ton,Gravel_IRR_per_ton,Gypsum_IRR_per_ton,Glass_Float_IRR_per_ton
Aban,1402,Nov,2023,210000000,205000000,258300000,313650000,389500000,436650000,197400000,241499000,1400000000,5520000000,518000000,336000000,8700000,23229000,165000000,90750000,1450000,754000,11200000,108000000
Azar,1402,Dec,2023,210000000,208000000,260400000,320320000,397280000,447200000,199500000,241499000,1430000000,5600000000,514800000,328900000,8800000,23584000,168000000,92400000,1500000,810000,11600000,112000000
Dey,1402,Jan,2024,230000000,215000000,287500000,333250000,412800000,468700000,220800000,266800000,1460000000,5680000000,525600000,335800000,9000000,24300000,172000000,96320000,1550000,775000,12000000,116000000
Bahman,1402,Feb,2024,248000000,225000000,310000000,346500000,427500000,486000000,235600000,285200000,1490000000,5750000000,551300000,357600000,9200000,25024000,178000000,99680000,1600000,832000,12500000,120000000
Esfand,1402,Mar,2024,266300000,238000000,330212000,361760000,447440000,509320000,250322000,303582000,1520000000,5830000000,562400000,364800000,9400000,25850000,185000000,101750000,1680000,907000,13000000,125000000
Farvardin,1403,Apr,2024,260000000,235000000,319800000,359550000,444150000,507600000,244400000,296400000,1500000000,5900000000,555000000,360000000,9500000,25935000,190000000,104500000,1720000,860000,13500000,128000000
Ordibehesht,1403,May,2024,255000000,232000000,313650000,357280000,440800000,505760000,242250000,293250000,1520000000,5980000000,547200000,349600000,9600000,25920000,195000000,105300000,1780000,925000,14000000,132000000
Khordad,1403,Jun,2024,258000000,238000000,319920000,364140000,449820000,523600000,245100000,296700000,1540000000,6050000000,554400000,354200000,9700000,25996000,200000000,108000000,1850000,999000,14500000,136000000
Tir,1403,Jul,2024,262000000,245000000,324880000,369950000,458150000,534100000,248900000,301300000,1560000000,6120000000,561600000,358800000,9800000,26460000,205000000,112750000,1920000,960000,15000000,140000000
Mordad,1403,Aug,2024,265000000,250000000,331250000,375000000,465000000,537500000,254400000,307400000,1575000000,6200000000,582750000,378000000,9900000,26928000,210000000,117600000,2000000,1040000,15500000,145000000
Shahrivar,1403,Sep,2024,268000000,258000000,335000000,384420000,477300000,546960000,254600000,310880000,1610000000,6280000000,595700000,386400000,10000000,27500000,215000000,122549000,2100000,1134000,16200000,150000000
Mehr,1403,Oct,2024,270000000,265000000,340200000,392200000,487600000,551200000,253800000,315900000,1650000000,6350000000,627000000,412500000,10200000,28355000,218000000,122080000,2200000,1100000,17000000,155000000
Aban,1403,Nov,2024,273000000,275000000,343980000,404250000,500500000,563750000,256620000,316680000,1700000000,6420000000,629000000,408000000,10400000,29119000,222000000,122100000,2350000,1222000,17800000,162000000
Azar,1403,Dec,2024,277750000,290000000,352742000,420500000,522000000,580000000,263862000,319412000,1750000000,6500000000,630000000,420000000,10600000,29892000,230000000,124200000,2500000,1350000,18500000,170000000
Dey,1403,Jan,2025,285000000,310000000,361950000,440200000,545600000,604500000,273600000,327750000,1850000000,6598000000,647500000,425500000,10800000,30239000,245000000,132300000,2650000,1325000,19500000,178000000
Bahman,1403,Feb,2025,300000000,340000000,378000000,469199000,584800000,646000000,285000000,341999000,2000000000,6650000000,700000000,460000000,11000000,30579000,265000000,140450000,2800000,1456000,20500000,188000000
Esfand,1403,Mar,2025,320000000,369810000,400000000,499243000,621280000,684148000,300800000,361599000,2150000000,6700000000,774000000,516000000,11200000,30800000,290000000,150800000,3000000,1620000,21500000,198000000
Farvardin,1404,Apr,2025,350000000,380000000,437500000,505400000,630800000,703000000,329000000,398999000,2350000000,6280000000,869500000,587500000,11500000,31280000,380000000,201400000,3200000,1600000,23000000,210000000
Ordibehesht,1404,May,2025,380000000,401660000,471200000,530191000,662739000,747087000,353400000,436999000,2510000000,7200000000,953800000,627500000,11800000,31860000,532000000,276640000,3400000,1768000,24500000,220000000
Khordad,1404,Jun,2025,395000000,410000000,493750000,545300000,680600000,770800000,371300000,458199000,2650000000,7500000000,980500000,636000000,12000000,32640000,480000000,264000000,3550000,1917000,25500000,228000000
Tir,1404,Jul,2025,410000000,415000000,516600000,556100000,697200000,788500000,389500000,479699000,2800000000,8000000000,1008000000,644000000,12200000,33550000,460000000,262200000,3700000,1850000,26500000,235000000
Mordad,1404,Aug,2025,430000000,420000000,546100000,567000000,709800000,806400000,408500000,507400000,2950000000,8500000000,1032499000,678500000,12500000,34750000,470000000,263200000,3850000,2002000,27500000,242000000
Shahrivar,1404,Sep,2025,450000000,425000000,571500000,578000000,722500000,828750000,423000000,531000000,3100000000,9000000000,1085000000,744000000,12800000,35840000,490000000,269500000,4000000,2160000,28500000,250000000
Mehr,1404,Oct,2025,470000000,430000000,601600000,589100000,739600000,851400000,437100000,549900000,3300000000,9812000000,1188000000,825000000,13000000,36660000,510000000,275400000,4200000,2100000,30000000,260000000
Aban,1404,Nov,2025,485000000,435000000,615950000,591600000,739500000,852600000,451050000,562600000,3500000000,9500000000,1260000000,840000000,13200000,37620000,520000000,275600000,4350000,2262000,31000000,268000000
Azar,1404,Dec,2025,493790000,440000000,622175000,594000000,739200000,849200000,464162000,567858000,3730000000,9600000000,1305500000,857900000,13500000,38880000,530000000,280900000,4500000,2430000,32000000,278000000
