Persian_Month,Persian_Year,Gregorian_Month,Gregorian_Year,Rebar_IRR_per_kg,Steel_Billet_IRR_per_kg,Steel_Beam_IPE_IRR_per_kg,Hot-Rolled_Steel_Sheet_IRR_per_kg,Cold-Rolled_Steel_Sheet_IRR_per_kg,Galvanized_Steel_Sheet_IRR_per_kg,Wire_Rod_IRR_per_kg,Structural_Profile_IRR_per_kg,Aluminum_Ingot_IRR_per_kg,Cathode_Copper_IRR_per_kg,Zinc_Ingot_IRR_per_kg,Lead_Ingot_IRR_per_kg,Cement_Type_2_IRR_per_kg,White_Cement_IRR_per_kg,Bitumen_60/70_IRR_per_kg,Vacuum_Bottom_IRR_per_kg,Sand_IRR_per_kg,Gravel_IRR_per_kg,Gypsum_IRR_per_kg,Glass_Float_IRR_per_kg
Esfand,1403,Mar,2025,320000,369810,400000,499243,621280,684148,300800,361599,2150000,6700000,774000,516000,11200,30800,290000,150800,3000,1620,21500,198000
Farvardin,1404,Apr,2025,350000,380000,437500,505400,630800,703000,329000,398999,2350000,6280000,869500,587500,11500,31280,380000,201400,3200,1600,23000,210000
Ordibehesht,1404,May,2025,380000,401660,471200,530191,662739,747087,353400,436999,2510000,7200000,953800,627500,11800,31860,532000,276640,3400,1768,24500,220000
Khordad,1404,Jun,2025,395000,410000,493750,545300,680600,770800,371300,458199,2650000,7500000,980500,636000,12000,32640,480000,264000,3550,1917,25500,228000
Tir,1404,Jul,2025,410000,415000,516600,556100,697200,788500,389500,479699,2800000,8000000,1008000,644000,12200,33550,460000,262200,3700,1850,26500,235000
Mordad,1404,Aug,2025,430000,420000,546100,567000,709800,806400,408500,507400,2950000,8500000,1032499,678500,12500,34750,470000,263200,3850,2002,27500,242000
Shahrivar,1404,Sep,2025,450000,425000,571500,578000,722500,828750,423000,531000,3100000,9000000,1085000,744000,12800,35840,490000,269500,4000,2160,28500,250000
Mehr,1404,Oct,2025,470000,430000,601600,589100,739600,851400,437100,549900,3300000,9812000,1188000,825000,13000,36660,510000,275400,4200,2100,30000,260000
Aban,1404,Nov,2025,485000,435000,615950,591600,739500,852600,451050,562600,3500000,9500000,1260000,840000,13200,37620,520000,275600,4350,2262,31000,268000
Azar,1404,Dec,2025,493790,440000,622175,594000,739200,849200,464162,567858,3730000,9600000,1305500,857900,13500,38880,530000,280900,4500,2430,32000,278000
